video_id,hour1_views,hour1_likes,hour1_comments
o2v8nGZbPAA,4481,77,0
c2XKndOQrIE,914,6,0
jiBLb5C04SE,268,6,0
6HGzEGl2ea4,8827,0,3
rsFtJapyO_8,1948,222,2
TN145HHuNS4,518,5,0
OI4kkpw30o0,1143,80,2
fuknVtmthPo,9013,588,2
2OskpONunSk,5159,0,0
x796we1Mf_s,2741,744,43
nxZt5s9Pcqo,12889,817,10
wLIr7U3__V8,3802,668,0
kEXraiKz9OE,328,0,3
3fV4M8xNxIs,172,0,0
v8z7_ed9iz0,623,7,2
LTNJp55yB9o,3298,0,0
5GdeUkTGQzM,417,0,0
0mTL6eDEc7o,844,52,3
d2bpE3HJ_2k,1344,22,0
1Wz-nGMgOQI,1462,0,2
RHw-Sgq8JfM,2944,119,2
4OCtwFr7w9U,1382,0,0
Y6_a0k1ICFE,4239,0,7
5_WNu2KOrYs,713,18,0
WP8s7OixvAM,2678,139,6
sb1pwTpKTW8,120,0,0
hCg3uuEusiM,225,0,0
uW4gI5tNY6A,396,7,0
7MWCoeQS5V8,2369,0,0
v4WAgVnH2io,36,0,0
0LAxibFW3H8,3691,350,27
2Ip4ign24C0,407,2,0
l5iP4S0397A,1351,9,0
UMiTo0GSFjI,1409,152,8
YAGJ4R2Fj4k,327,1,0
jtKZlEamto0,979,105,8
keJ_5mLO0NE,2024,4,0
wUyNQfpG-QU,1257,24,0
drwpvVgAoX8,1141,70,7
fXVgIYcPWnE,964,0,4
CU314OJ8fik,90,7,1
DLQ2qZq0cS0,2169,0,0
1zaWBQLTvFk,615,29,1
9ObVBIXlL7s,1181,15,0
kpZczOaKXvg,171,12,12
BRu56eBW0Z0,697,31,1
I-n67S78dC4,371,7,0
gqHKrR9yIC0,767,0,0
NOnB9dvBbHw,326,77,80
J9S9T-MjHGs,548,82,0
VqQyvf43QoY,2916,60,0
2m2LdYxHuG0,1908,52,2
EjJpW8UMd4U,689,7,0
GUGE6AE_g_I,359,6,0
